customer,state,response,coverage,education,employment_status,location_code,marital_status,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
BU79786,Washington,No,Basic,Bachelor or College,Employed,Suburban,Married,Corporate,Offer1,Agent,Normal Car,Medsize
QZ44356,Arizona,No,Extended,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer3,Agent,Normal Car,Medsize
AI49188,Nevada,No,Premium,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Agent,Normal Car,Medsize
WW63253,California,No,Basic,Bachelor or College,Unemployed,Suburban,Married,Corporate,Offer1,Call Center,Medium-Class Car,Medsize
HB64268,Washington,No,Basic,Bachelor or College,Employed,Rural,Single,Personal,Offer1,Agent,Normal Car,Medsize
OC83172,Oregon,Yes,Basic,Bachelor or College,Employed,Rural,Married,Personal,Offer2,Web,Normal Car,Medsize
XZ87318,Oregon,Yes,Basic,Bachelor or College,Employed,Suburban,Married,Corporate,Offer1,Agent,Normal Car,Medsize
CF85061,Arizona,No,Premium,Doctor or Master,Unemployed,Urban,Single,Corporate,Offer1,Agent,Normal Car,Medsize
DY87989,Oregon,Yes,Basic,Bachelor or College,Other status,Suburban,Divorced,Corporate,Offer1,Agent,Normal Car,Medsize
BQ94931,Oregon,No,Extended,Bachelor or College,Employed,Urban,Married,Special,Offer2,Branch,Normal Car,Medsize
SX51350,California,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Agent,Normal Car,Small
VQ65197,California,No,Basic,Bachelor or College,Unemployed,Suburban,Married,Personal,Offer2,Agent,Medium-Class Car,Medsize
DP39365,California,No,Premium,Doctor or Master,Employed,Urban,Married,Corporate,Offer2,Agent,Normal Car,Medsize
SJ95423,Arizona,Yes,Basic,High School or Below,Employed,Suburban,Married,Corporate,Offer2,Branch,Medium-Class Car,Medsize
IL66569,California,No,Basic,Bachelor or College,Employed,Urban,Single,Corporate,Offer4,Call Center,Normal Car,Medsize
BW63560,Oregon,No,Basic,Bachelor or College,Employed,Rural,Married,Corporate,Offer2,Branch,Normal Car,Medsize
FV94802,Nevada,No,Basic,High School or Below,Other status,Suburban,Married,Personal,Offer2,Call Center,Normal Car,Medsize
OE15005,California,No,Basic,Bachelor or College,Other status,Suburban,Married,Personal,Offer3,Call Center,Medium-Class Car,Medsize
WC83389,Oregon,No,Basic,Bachelor or College,Employed,Urban,Married,Personal,Offer2,Branch,Normal Car,Medsize
FL50705,California,No,Premium,High School or Below,Employed,Suburban,Married,Corporate,Offer1,Call Center,Normal Car,Small
ZK25313,Oregon,No,Basic,High School or Below,Employed,Suburban,Single,Personal,Offer1,Branch,Normal Car,Medsize
SV62436,Washington,No,Extended,Bachelor or College,Other status,Suburban,Divorced,Personal,Offer4,Call Center,Normal Car,Medsize
YH23384,Arizona,Yes,Basic,Bachelor or College,Other status,Suburban,Divorced,Personal,Offer1,Agent,Normal Car,Medsize
TZ98966,Nevada,No,Basic,Bachelor or College,Unemployed,Suburban,Single,Corporate,Offer1,Branch,Normal Car,Medsize
HM55802,California,No,Basic,Bachelor or College,Other status,Suburban,Married,Corporate,Offer2,Branch,Normal Car,Medsize
FS42516,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer2,Call Center,Normal Car,Large
US89481,California,No,Premium,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer1,Agent,Normal Car,Small
HO30839,Washington,No,Extended,Doctor or Master,Other status,Urban,Married,Corporate,Offer1,Branch,Medium-Class Car,Medsize
GE62437,Arizona,No,Premium,Bachelor or College,Employed,Suburban,Single,Personal,Offer1,Call Center,Normal Car,Large
EJ77678,Oregon,No,Extended,Doctor or Master,Employed,Suburban,Married,Personal,Offer2,Branch,Normal Car,Small
SV85652,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Married,Personal,Offer4,Call Center,Normal Car,Small
UL64533,Nevada,No,Extended,High School or Below,Employed,Urban,Married,Corporate,Offer2,Agent,Luxury Car,Medsize
PF41800,California,No,Basic,Bachelor or College,Unemployed,Urban,Married,Personal,Offer1,Call Center,Normal Car,Medsize
AO98601,Washington,No,Basic,Bachelor or College,Employed,Suburban,Married,Corporate,Offer1,Agent,Normal Car,Small
SK67821,Oregon,No,Basic,Bachelor or College,Employed,Rural,Married,Corporate,Offer3,Web,Normal Car,Medsize
YV55495,Arizona,No,Basic,High School or Below,Employed,Urban,Married,Personal,Offer1,Branch,Normal Car,Medsize
KY38074,California,No,Premium,Bachelor or College,Employed,Suburban,Married,Personal,Offer1,Agent,Normal Car,Small
DM79012,Oregon,No,Extended,Doctor or Master,Employed,Suburban,Married,Personal,Offer2,Web,Normal Car,Small
CM61827,Oregon,No,Extended,Bachelor or College,Unemployed,Suburban,Single,Personal,Offer3,Agent,Normal Car,Small
WC35801,Arizona,No,Basic,High School or Below,Employed,Rural,Divorced,Personal,Offer1,Call Center,Normal Car,Medsize
QG25316,Nevada,No,Basic,High School or Below,Unemployed,Suburban,Married,Corporate,Offer3,Call Center,Normal Car,Medsize
MB98372,Oregon,Yes,Basic,Bachelor or College,Employed,Rural,Single,Corporate,Offer2,Agent,Normal Car,Medsize
